Date;Price;Open;High;Low;Change (%)
01/01/2014;815.9;805.9;829.9;771.0;1.24
02/01/2014;856.9;815.9;886.2;810.5;5.02
03/01/2014;884.3;856.9;888.2;839.4;3.19
04/01/2014;924.7;884.3;932.2;848.3;4.57
05/01/2014;1014.7;924.7;1029.9;911.4;9.74
06/01/2014;1012.7;1014.7;1093.4;964.7;-0.21
07/01/2014;879.9;1012.7;1044.0;879.8;-13.11
08/01/2014;938.8;879.9;966.9;858.9;6.70
09/01/2014;937.0;938.8;964.6;866.5;-0.20
10/01/2014;957.8;937.0;964.8;905.9;2.22
11/01/2014;1005.3;957.8;1010.8;935.0;4.97
12/01/2014;939.8;1005.3;1022.7;922.1;-6.52
13/01/2014;922.9;939.8;949.2;879.9;-1.80
14/01/2014;919.3;922.9;942.5;904.2;-0.39
15/01/2014;941.2;919.3;973.1;915.1;2.39
16/01/2014;913.5;941.2;955.5;910.5;-2.95
17/01/2014;894.2;913.5;929.8;867.2;-2.12
18/01/2014;905.7;894.2;924.7;884.7;1.29
19/01/2014;954.8;905.7;958.1;901.9;5.42
20/01/2014;956.0;954.8;980.5;926.0;0.12
21/01/2014;962.2;956.0;974.3;943.2;0.65
22/01/2014;951.0;962.2;973.9;935.0;-1.17
23/01/2014;944.2;951.0;958.1;936.3;-0.71
24/01/2014;916.5;944.2;949.5;902.9;-2.92
25/01/2014;961.0;916.5;978.4;915.9;4.86
26/01/2014;1007.0;961.0;1038.1;950.7;4.78
27/01/2014;943.5;1007.0;1021.5;937.2;-6.30
28/01/2014;932.7;943.5;972.6;911.7;-1.15
29/01/2014;925.7;932.7;950.6;918.9;-0.75
30/01/2014;941.4;925.7;953.2;909.5;1.70
31/01/2014;938.8;941.4;954.7;924.6;-0.27
01/02/2014;940.4;938.8;969.2;927.8;0.17
02/02/2014;953.3;940.4;959.4;934.4;1.37
03/02/2014;931.7;953.3;959.6;931.7;-2.27
04/02/2014;926.6;931.7;949.1;900.8;-0.54
05/02/2014;904.5;926.6;939.8;890.0;-2.39
06/02/2014;828.9;904.5;908.8;800.9;-8.36
07/02/2014;695.7;828.9;833.1;651.7;-16.07
08/02/2014;648.8;695.7;719.3;632.1;-6.74
09/02/2014;659.6;648.8;694.1;622.5;1.66
10/02/2014;582.6;659.6;700.0;500.0;-11.67
11/02/2014;579.0;582.6;609.7;550.2;-0.63
12/02/2014;531.1;579.0;585.1;511.9;-8.26
13/02/2014;451.4;531.1;549.2;451.3;-15.00
14/02/2014;427.7;451.4;500.0;302.2;-5.26
15/02/2014;371.1;427.7;447.9;310.1;-13.24
16/02/2014;299.8;371.1;540.0;220.4;-19.21
17/02/2014;272.3;299.8;411.2;263.4;-9.18
18/02/2014;294.0;272.3;370.1;248.3;7.96
19/02/2014;261.5;294.0;308.6;257.2;-11.03
20/02/2014;111.9;261.5;271.6;109.2;-57.21
21/02/2014;111.6;111.9;160.1;91.7;-0.32
22/02/2014;255.6;111.6;290.6;96.7;129.11
23/02/2014;310.2;255.6;349.1;220.3;21.35
24/02/2014;174.0;310.2;316.9;131.9;-43.90
25/02/2014;135.8;174.0;174.6;102.3;-21.97
26/02/2014;593.1;135.8;650.0;522.8;336.84
27/02/2014;596.5;593.1;629.9;580.5;0.56
28/02/2014;573.9;596.5;599.0;570.0;-3.78
01/03/2014;557.4;573.9;564.1;262.8;-2.88
02/03/2014;544.6;557.4;562.9;541.5;-2.30
03/03/2014;662.2;544.6;695.4;545.4;21.60
04/03/2014;661.8;662.2;686.2;645.2;-0.05
05/03/2014;658.3;661.8;666.0;636.8;-0.54
06/03/2014;648.3;658.3;661.8;636.2;-1.53
07/03/2014;616.7;648.3;655.2;600.3;-4.86
08/03/2014;609.2;616.7;625.7;588.6;-1.22
09/03/2014;627.0;609.2;637.6;598.5;2.93
10/03/2014;613.0;627.0;633.7;594.7;-2.25
11/03/2014;608.7;613.0;619.7;599.9;-0.70
12/03/2014;619.4;608.7;640.8;608.2;1.76
13/03/2014;625.0;619.4;636.1;616.1;0.91
14/03/2014;614.0;625.0;631.2;610.6;-1.76
15/03/2014;624.0;614.0;628.8;609.2;1.63
16/03/2014;619.1;624.0;627.3;613.2;-0.78
17/03/2014;606.4;619.1;622.5;602.7;-2.06
18/03/2014;598.9;606.4;611.7;585.7;-1.23
19/03/2014;595.0;598.9;607.1;590.1;-0.66
20/03/2014;566.0;595.0;598.4;560.3;-4.87
21/03/2014;549.6;566.0;587.4;540.2;-2.90
22/03/2014;564.3;549.6;570.0;537.2;2.68
23/03/2014;551.2;564.3;564.3;538.6;-2.34
24/03/2014;567.6;551.2;572.5;531.3;2.98
25/03/2014;562.9;567.6;569.7;550.4;-0.82
26/03/2014;562.5;562.9;575.4;546.3;-0.08
27/03/2014;460.5;562.5;567.8;460.5;-18.13
28/03/2014;482.6;460.5;515.0;453.8;4.81
29/03/2014;477.1;482.6;494.3;473.8;-1.14
30/03/2014;446.9;477.1;479.0;424.0;-6.33
31/03/2014;444.7;446.9;473.4;422.5;-0.51
01/04/2014;463.5;444.7;487.4;438.0;4.23
02/04/2014;424.4;463.5;480.3;409.3;-8.43
03/04/2014;436.3;424.4;448.7;386.7;2.81
04/04/2014;444.4;436.3;456.5;415.5;1.85
05/04/2014;456.6;444.4;461.2;439.4;2.76
06/04/2014;455.7;456.6;472.4;446.3;-0.21
07/04/2014;462.4;455.7;485.1;448.0;1.47
08/04/2014;466.6;462.4;480.7;457.6;0.90
09/04/2014;457.3;466.6;479.7;451.1;-1.98
10/04/2014;384.6;457.3;463.5;384.6;-15.90
11/04/2014;435.1;384.6;450.4;355.7;13.13
12/04/2014;437.6;435.1;469.8;428.0;0.58
13/04/2014;427.6;437.6;454.1;409.9;-2.30
14/04/2014;478.4;427.6;497.8;420.1;11.88
15/04/2014;526.4;478.4;526.6;466.4;10.04
16/04/2014;537.0;526.4;549.0;496.1;2.00
17/04/2014;502.0;537.0;537.0;486.9;-6.51
18/04/2014;485.5;502.0;512.2;472.0;-3.28
19/04/2014;506.0;485.5;516.9;473.2;4.22
20/04/2014;498.5;506.0;522.2;488.7;-1.48
21/04/2014;495.2;498.5;524.7;490.7;-0.67
22/04/2014;487.9;495.2;520.5;483.4;-1.46
23/04/2014;487.3;487.9;510.0;482.3;-0.13
24/04/2014;500.3;487.3;507.3;477.2;2.67
25/04/2014;464.5;500.3;502.5;438.3;-7.16
26/04/2014;457.9;464.5;468.7;448.6;-1.43
27/04/2014;443.2;457.9;461.4;437.4;-3.21
28/04/2014;441.9;443.2;451.1;420.8;-0.28
29/04/2014;446.1;441.9;453.8;430.7;0.95
