Date;Price;Open;High;Low;Change (%)
10/03/2016;11.75;11.20;11.85;11.07;4.91
11/03/2016;11.95;11.75;11.95;11.75;1.70
12/03/2016;12.92;11.95;13.45;11.95;8.12
13/03/2016;15.07;12.92;15.07;12.92;16.64
14/03/2016;12.50;15.07;15.07;11.40;-17.05
15/03/2016;13.06;12.63;13.42;11.98;4.48
16/03/2016;12.88;13.06;13.89;12.62;-1.38
17/03/2016;10.74;12.58;12.61;10.44;-16.61
18/03/2016;10.74;11.09;11.20;8.34;0.00
19/03/2016;10.31;10.97;11.10;9.78;-4.00
20/03/2016;10.18;10.55;10.88;9.56;-1.26
21/03/2016;11.95;10.18;12.05;10.14;17.39
22/03/2016;11.37;11.53;11.97;11.08;-4.85
23/03/2016;12.43;11.37;12.43;11.20;9.32
24/03/2016;11.20;12.43;12.47;10.67;-9.90
25/03/2016;10.67;11.32;11.35;10.52;-4.73
26/03/2016;11.00;10.67;11.20;10.58;3.09
27/03/2016;10.40;10.93;10.98;10.17;-5.45
28/03/2016;11.62;10.40;11.94;10.40;11.73
29/03/2016;11.79;11.78;11.88;11.37;1.46
30/03/2016;11.85;11.79;12.30;11.44;0.51
31/03/2016;11.41;11.92;12.02;11.29;-3.71
01/04/2016;11.62;11.41;11.94;11.39;1.84
02/04/2016;11.61;11.65;11.77;11.43;-0.09
03/04/2016;11.75;11.61;11.76;11.40;1.21
04/04/2016;11.15;11.60;11.67;10.88;-5.11
05/04/2016;10.40;11.15;11.15;9.70;-6.73
06/04/2016;10.76;10.40;10.96;10.20;3.46
07/04/2016;10.12;10.76;10.85;9.40;-5.95
08/04/2016;9.71;10.05;10.34;9.60;-4.05
09/04/2016;9.15;9.69;10.20;9.00;-5.77
10/04/2016;8.76;9.15;9.43;7.52;-4.26
11/04/2016;8.68;8.56;8.93;8.01;-0.91
12/04/2016;7.53;8.53;8.54;7.21;-13.25
13/04/2016;8.09;7.48;8.80;6.86;7.44
14/04/2016;8.46;8.08;8.86;8.00;4.57
15/04/2016;8.32;8.39;8.69;8.10;-1.65
16/04/2016;8.54;8.23;8.68;8.18;2.64
17/04/2016;9.46;8.70;10.90;8.61;10.77
18/04/2016;8.97;9.30;9.55;8.44;-5.18
19/04/2016;8.71;8.97;9.38;8.65;-2.90
20/04/2016;8.61;8.73;9.05;8.35;-1.15
21/04/2016;8.11;8.61;8.80;8.00;-5.81
22/04/2016;7.97;8.23;8.41;7.73;-1.73
23/04/2016;8.46;7.95;8.80;7.81;6.15
24/04/2016;8.10;8.35;8.50;8.01;-4.26
25/04/2016;7.54;8.05;8.15;7.32;-6.91
26/04/2016;7.50;7.56;7.60;7.12;-0.53
27/04/2016;7.80;7.40;7.99;7.31;4.00
28/04/2016;7.33;7.73;7.87;7.25;-6.03
29/04/2016;7.52;7.23;7.72;7.19;2.59
30/04/2016;8.87;7.45;9.36;7.45;17.95
01/05/2016;8.75;8.74;9.00;8.35;-1.35
02/05/2016;10.00;8.83;10.30;8.79;14.29
03/05/2016;9.34;10.01;10.01;9.18;-6.60
04/05/2016;9.46;9.38;10.00;9.25;1.28
05/05/2016;9.79;9.40;10.00;9.30;3.49
06/05/2016;9.35;9.85;9.98;9.12;-4.49
07/05/2016;9.35;9.45;9.64;9.20;0.00
08/05/2016;9.50;9.41;9.64;9.00;1.60
09/05/2016;9.32;9.51;9.65;9.25;-1.89
10/05/2016;9.38;9.31;9.47;9.28;0.64
11/05/2016;9.89;9.38;9.98;9.30;5.44
12/05/2016;10.04;9.92;10.47;9.79;1.52
13/05/2016;10.60;10.09;11.11;10.08;5.58
14/05/2016;10.16;10.60;10.75;9.71;-4.15
15/05/2016;9.97;10.25;10.42;9.93;-1.87
16/05/2016;11.09;10.01;11.47;10.00;11.23
17/05/2016;12.08;11.15;12.60;11.10;8.93
18/05/2016;13.35;12.28;14.40;12.21;10.51
19/05/2016;14.58;13.40;14.65;13.20;9.21
20/05/2016;13.79;14.74;14.89;13.31;-5.42
21/05/2016;14.00;13.60;14.00;13.01;1.52
22/05/2016;14.21;14.06;14.51;13.62;1.50
23/05/2016;13.42;14.21;14.49;13.32;-5.56
24/05/2016;12.73;13.38;13.82;12.00;-5.14
25/05/2016;12.49;12.84;12.99;11.80;-1.89
26/05/2016;12.48;12.52;13.07;12.13;-0.08
27/05/2016;11.12;12.40;12.43;10.53;-10.90
28/05/2016;11.98;10.99;12.50;10.38;7.73
29/05/2016;12.41;11.80;12.89;11.78;3.59
30/05/2016;12.72;12.44;12.81;12.30;2.50
31/05/2016;14.01;12.78;14.28;12.60;10.14
01/06/2016;13.85;14.07;14.30;13.46;-1.14
02/06/2016;13.80;13.94;14.03;13.61;-0.36
03/06/2016;13.84;13.82;13.99;13.42;0.29
04/06/2016;13.81;13.90;13.90;13.40;-0.22
05/06/2016;13.95;13.75;13.97;13.69;1.01
06/06/2016;14.03;14.00;14.19;13.80;0.57
07/06/2016;14.50;13.94;14.70;13.88;3.35
08/06/2016;14.49;14.60;14.89;14.30;-0.07
09/06/2016;14.45;14.51;14.70;14.37;-0.28
10/06/2016;13.97;14.44;14.46;13.56;-3.32
11/06/2016;14.15;13.95;14.28;13.81;1.29
12/06/2016;15.80;14.30;16.09;14.25;11.66
13/06/2016;17.73;15.75;17.91;15.70;12.22
14/06/2016;18.73;17.65;19.41;16.00;5.64
15/06/2016;18.45;18.70;18.75;17.55;-1.49
16/06/2016;20.70;18.61;21.10;18.44;12.20
17/06/2016;15.61;20.86;21.69;11.51;-24.59
18/06/2016;11.41;15.19;15.30;10.13;-26.91
19/06/2016;12.43;10.76;13.36;10.55;8.94
20/06/2016;11.90;12.33;12.49;10.51;-4.26
21/06/2016;12.94;11.67;12.98;11.20;8.74
22/06/2016;13.25;13.75;15.90;12.95;2.40
23/06/2016;13.75;13.26;14.00;12.50;3.77
24/06/2016;14.29;13.76;14.46;13.10;3.93
25/06/2016;14.31;14.39;14.84;13.91;0.14
26/06/2016;13.75;14.22;14.40;13.53;-3.91
27/06/2016;13.96;13.71;14.19;13.68;1.53
28/06/2016;12.22;13.95;14.07;11.51;-12.46
29/06/2016;12.77;12.08;13.05;11.57;4.50
30/06/2016;12.50;12.64;12.88;12.20;-2.11
01/07/2016;12.35;12.50;12.58;11.74;-1.20
02/07/2016;12.14;12.17;12.20;11.95;-1.70
03/07/2016;11.78;12.06;12.11;11.56;-2.97
04/07/2016;11.42;11.65;11.85;11.35;-3.06
05/07/2016;10.53;11.42;11.49;9.35;-7.79
06/07/2016;10.55;10.37;11.12;10.22;0.19
07/07/2016;10.14;10.58;10.67;9.73;-3.89
08/07/2016;11.31;10.16;11.65;9.90;11.54
09/07/2016;10.90;11.37;11.43;10.40;-3.63
10/07/2016;10.95;10.83;11.02;10.74;0.46
11/07/2016;10.51;10.95;11.09;10.20;-4.02
12/07/2016;10.55;10.48;10.80;10.40;0.38
13/07/2016;10.47;10.55;10.60;10.43;-0.76
14/07/2016;11.60;10.70;11.79;10.69;10.79
15/07/2016;11.93;11.50;12.55;11.37;2.84
16/07/2016;11.72;11.95;12.05;11.72;-1.76
17/07/2016;11.24;11.72;11.74;11.02;-4.10
18/07/2016;11.04;11.31;11.75;11.01;-1.78
19/07/2016;11.75;11.09;12.24;11.07;6.43
20/07/2016;12.48;11.70;13.04;11.55;6.21
21/07/2016;12.55;12.52;12.75;12.03;0.56
22/07/2016;14.67;12.67;15.15;12.53;16.89
23/07/2016;14.25;14.55;14.85;13.90;-2.86
24/07/2016;12.65;14.33;14.44;12.17;-11.23
25/07/2016;13.80;12.86;13.80;12.75;9.09
26/07/2016;12.01;13.55;13.86;11.91;-12.97
27/07/2016;13.03;12.01;13.28;11.78;8.49
28/07/2016;12.87;12.93;13.00;12.54;-1.23
29/07/2016;12.90;12.87;12.94;12.60;0.23
30/07/2016;12.52;12.85;12.85;12.47;-2.95
31/07/2016;11.86;12.45;12.55;11.30;-5.27
01/08/2016;11.08;12.00;12.04;11.08;-6.58
02/08/2016;10.16;11.04;11.20;9.90;-8.30
03/08/2016;10.16;10.16;10.16;10.16;0.00
04/08/2016;10.16;10.16;10.16;10.16;0.00
05/08/2016;10.16;10.16;10.16;10.16;0.00
06/08/2016;10.16;10.16;10.16;10.16;0.00
07/08/2016;10.16;10.16;10.16;10.16;0.00
08/08/2016;10.16;10.16;10.16;10.16;0.00
09/08/2016;10.16;10.16;10.16;10.16;0.00
10/08/2016;12.07;11.99;12.33;11.86;18.80
11/08/2016;11.64;11.90;12.10;11.57;-3.56
12/08/2016;11.67;11.71;11.99;11.57;0.26
13/08/2016;11.48;11.69;11.76;11.40;-1.63
14/08/2016;11.16;11.48;11.67;11.00;-2.79
15/08/2016;11.09;11.16;11.28;10.88;-0.63
16/08/2016;11.07;11.15;11.17;10.83;-0.18
17/08/2016;10.72;11.07;11.07;10.65;-3.16
18/08/2016;10.69;10.72;10.97;10.66;-0.28
19/08/2016;10.68;10.69;10.76;10.61;-0.09
20/08/2016;11.26;10.69;11.30;10.68;5.43
21/08/2016;11.13;11.26;11.30;10.93;-1.15
22/08/2016;11.14;11.20;11.36;11.00;0.09
23/08/2016;10.99;11.14;11.28;10.90;-1.35
24/08/2016;10.98;11.03;11.20;10.96;-0.09
25/08/2016;11.39;10.98;11.39;10.97;3.73
26/08/2016;11.22;11.39;11.42;11.13;-1.49
27/08/2016;11.20;11.26;11.26;11.13;-0.18
28/08/2016;10.94;11.11;11.16;10.92;-2.32
29/08/2016;10.93;10.94;11.18;10.78;-0.09
30/08/2016;11.29;11.03;11.39;10.94;3.29
31/08/2016;11.63;11.33;11.63;11.17;3.01
01/09/2016;12.22;11.66;12.60;11.61;5.07
02/09/2016;12.13;12.22;12.38;11.91;-0.74
